Cooccurences from the list of overlap are summed to count the score.
bar.40081; predicted_sense: [65453, Synset('bar.n.03')]; correct_sense: bar-3;

bar.40084; predicted_sense: [4468, Synset('bar.n.02')]; correct_sense: bar-0;

bar.40085; predicted_sense: [17377, Synset('bar.n.02')]; correct_sense: bar-0;

bar.40092; predicted_sense: [16300, Synset('prevention.n.01')]; correct_sense: bar-0;

bar.40096; predicted_sense: [197646, Synset('bar.n.03')]; correct_sense: bar-0;

bar.40099; predicted_sense: [66089, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40102; predicted_sense: [9392, Synset('bar.n.03')]; correct_sense: bar-0;

bar.40105; predicted_sense: [11653, Synset('bar.n.03')]; correct_sense: bar-0;

bar.40111; predicted_sense: [219, Synset('browning_automatic_rifle.n.01')]; correct_sense: bar-0;

bar.40120; predicted_sense: [23207, Synset('bar.n.03')]; correct_sense: bar-5;

bar.40123; predicted_sense: [944, Synset('prevention.n.01')]; correct_sense: bar-0;

bar.40126; predicted_sense: [12560, Synset('legal_profession.n.01')]; correct_sense: bar-0;

bar.40127; predicted_sense: [1954, Synset('legal_profession.n.01')]; correct_sense: bar-0;

bar.40130; predicted_sense: [8239, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40135; predicted_sense: [11487, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40136; predicted_sense: [68013, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40146; predicted_sense: [113629, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40147; predicted_sense: [7521, Synset('bar.n.08')]; correct_sense: bar-0;

bar.40149; predicted_sense: [18529, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40150; predicted_sense: [33654, Synset('bar.n.03')]; correct_sense: bar-0;

bar.40152; predicted_sense: [9488, Synset('legal_profession.n.01')]; correct_sense: bar-0;

bar.40161; predicted_sense: [32950, Synset('bar.n.08')]; correct_sense: bar-0;

bar.40164; predicted_sense: [6360, Synset('bar.v.01')]; correct_sense: bar-0;

bar.40165; predicted_sense: [7228, Synset('bar.n.03')]; correct_sense: bar-0;

bar.40168; predicted_sense: [4842, Synset('bar.n.02')]; correct_sense: bar-0;

bar.40169; predicted_sense: [32950, Synset('bar.n.08')]; correct_sense: bar-0;

bar.40174; predicted_sense: [71457, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40175; predicted_sense: [91150, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40177; predicted_sense: [5197, Synset('bar.n.03')]; correct_sense: bar-0;

bar.40181; predicted_sense: [9651, Synset('bar.n.03')]; correct_sense: bar-0;

bar.40186; predicted_sense: [58782, Synset('bar.n.03')]; correct_sense: bar-0;

bar.40187; predicted_sense: [241109, Synset('bar.n.03')]; correct_sense: bar-0;
