Only chairs, signature and context sets
chair.40002; predicted_sense: [105052, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40003; predicted_sense: [27336, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40005; predicted_sense: [6578, Synset('chair.n.05')]; correct_sense: chair-0;

chair.40008; predicted_sense: [93961, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40012; predicted_sense: [1363, Synset('chair.v.01')]; correct_sense: chair-0;

chair.40013; predicted_sense: [213, Synset('professorship.n.01')]; correct_sense: chair-0;

chair.40015; predicted_sense: [7572, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40019; predicted_sense: [30990, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40020; predicted_sense: [20584, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40023; predicted_sense: [57481, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40025; predicted_sense: [95920, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40027; predicted_sense: [2031, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40030; predicted_sense: [30375, Synset('president.n.04')]; correct_sense: chair-0;

chair.40033; predicted_sense: [11715, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40034; predicted_sense: [4009, Synset('professorship.n.01')]; correct_sense: chair-0;

chair.40037; predicted_sense: [9033, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40039; predicted_sense: [38215, Synset('chair.v.01')]; correct_sense: chair-0;

chair.40040; predicted_sense: [67200, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40047; predicted_sense: [6337, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40050; predicted_sense: [14245, Synset('chair.n.05')]; correct_sense: chair-0;

chair.40058; predicted_sense: [16247, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40062; predicted_sense: [6627, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40064; predicted_sense: [6578, Synset('chair.n.05')]; correct_sense: chair-0;

chair.40066; predicted_sense: [5885, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40068; predicted_sense: [9029, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40071; predicted_sense: [96806, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40072; predicted_sense: [21604, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40075; predicted_sense: [15251, Synset('chair.n.01')]; correct_sense: chair-0;

