Multiple values both on context and signature
bar.40004; predicted_sense: [25407, Synset('bar.n.02')]; correct_sense: bar-0;

bar.40008; predicted_sense: [2417, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40012; predicted_sense: [36254, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40015; predicted_sense: [39907, Synset('bar.n.03')]; correct_sense: bar-3;

bar.40020; predicted_sense: [76518, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40021; predicted_sense: [48711, Synset('browning_automatic_rifle.n.01')]; correct_sense: bar-0;

bar.40024; predicted_sense: [30786, Synset('bar.n.03')]; correct_sense: bar-0;

bar.40029; predicted_sense: [114394, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40030; predicted_sense: [50952, Synset('bar.n.03')]; correct_sense: bar-3;

bar.40033; predicted_sense: [71457, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40035; predicted_sense: [5536, Synset('prevention.n.01')]; correct_sense: bar-0;

bar.40039; predicted_sense: [121621, Synset('bar.n.03')]; correct_sense: bar-0;

bar.40044; predicted_sense: [21823, Synset('bar.n.03')]; correct_sense: bar-0;

bar.40050; predicted_sense: [32230, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40053; predicted_sense: [8508, Synset('bar.v.04')]; correct_sense: bar-0;

bar.40060; predicted_sense: [30341, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40064; predicted_sense: [32950, Synset('bar.n.08')]; correct_sense: bar-0;

bar.40067; predicted_sense: [32950, Synset('bar.n.08')]; correct_sense: bar-0;

bar.40069; predicted_sense: [8920, Synset('bar.n.03')]; correct_sense: bar-0;

bar.40070; predicted_sense: [85699, Synset('bar.n.03')]; correct_sense: bar-3;

bar.40073; predicted_sense: [39461, Synset('bar.n.02')]; correct_sense: bar-0;

bar.40081; predicted_sense: [208543, Synset('bar.n.03')]; correct_sense: bar-3;

bar.40084; predicted_sense: [6098, Synset('bar.n.02')]; correct_sense: bar-0;

bar.40085; predicted_sense: [24898, Synset('bar.n.02')]; correct_sense: bar-0;

bar.40092; predicted_sense: [16300, Synset('prevention.n.01')]; correct_sense: bar-0;

bar.40096; predicted_sense: [376910, Synset('bar.n.03')]; correct_sense: bar-0;

bar.40099; predicted_sense: [67399, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40102; predicted_sense: [10702, Synset('bar.n.03')]; correct_sense: bar-0;

bar.40105; predicted_sense: [54883, Synset('bar.n.03')]; correct_sense: bar-0;

bar.40111; predicted_sense: [219, Synset('browning_automatic_rifle.n.01')]; correct_sense: bar-0;

bar.40120; predicted_sense: [64045, Synset('bar.n.03')]; correct_sense: bar-5;

bar.40123; predicted_sense: [944, Synset('prevention.n.01')]; correct_sense: bar-0;

bar.40126; predicted_sense: [12560, Synset('legal_profession.n.01')]; correct_sense: bar-0;

bar.40127; predicted_sense: [1954, Synset('legal_profession.n.01')]; correct_sense: bar-0;

bar.40130; predicted_sense: [8239, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40135; predicted_sense: [11487, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40136; predicted_sense: [73369, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40146; predicted_sense: [113629, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40147; predicted_sense: [15042, Synset('bar.n.08')]; correct_sense: bar-0;

bar.40149; predicted_sense: [22563, Synset('bar.n.02')]; correct_sense: bar-0;

bar.40150; predicted_sense: [38188, Synset('bar.n.03')]; correct_sense: bar-0;

bar.40152; predicted_sense: [9488, Synset('legal_profession.n.01')]; correct_sense: bar-0;

bar.40161; predicted_sense: [32950, Synset('bar.n.08')]; correct_sense: bar-0;

bar.40164; predicted_sense: [6360, Synset('bar.v.01')]; correct_sense: bar-0;

bar.40165; predicted_sense: [11762, Synset('bar.n.03')]; correct_sense: bar-0;

bar.40168; predicted_sense: [4842, Synset('bar.n.02')]; correct_sense: bar-0;

bar.40169; predicted_sense: [32950, Synset('bar.n.08')]; correct_sense: bar-0;

bar.40174; predicted_sense: [91389, Synset('bar.n.03')]; correct_sense: bar-0;

bar.40175; predicted_sense: [91150, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40177; predicted_sense: [5197, Synset('bar.n.03')]; correct_sense: bar-0;

bar.40181; predicted_sense: [53550, Synset('bar.n.03')]; correct_sense: bar-0;

bar.40186; predicted_sense: [58782, Synset('bar.n.03')]; correct_sense: bar-0;

bar.40187; predicted_sense: [421013, Synset('bar.n.03')]; correct_sense: bar-0;

bar.40189; predicted_sense: [32230, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40193; predicted_sense: [48034, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40195; predicted_sense: [20643, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40196; predicted_sense: [36300, Synset('bar.n.08')]; correct_sense: bar-0;

bar.40208; predicted_sense: [64460, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40211; predicted_sense: [51876, Synset('bar.n.03')]; correct_sense: bar-0;

bar.40214; predicted_sense: [45613, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40216; predicted_sense: [32230, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40217; predicted_sense: [5671, Synset('bar.n.02')]; correct_sense: bar-0;

bar.40221; predicted_sense: [35810, Synset('bar.n.02')]; correct_sense: bar-0;

bar.40226; predicted_sense: [34708, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40229; predicted_sense: [172642, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40234; predicted_sense: [9596, Synset('bar.n.02')]; correct_sense: bar-0;

bar.40250; predicted_sense: [60370, Synset('bar.n.03')]; correct_sense: bar-0;

bar.40252; predicted_sense: [40849, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40253; predicted_sense: [4842, Synset('bar.n.03')]; correct_sense: bar-0;

bar.40255; predicted_sense: [184787, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40259; predicted_sense: [880, Synset('browning_automatic_rifle.n.01')]; correct_sense: bar-3;

bar.40261; predicted_sense: [59465, Synset('bar.n.03')]; correct_sense: bar-0;

bar.40264; predicted_sense: [26372, Synset('bar.n.03')]; correct_sense: bar-3;

bar.40267; predicted_sense: [40473, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40270; predicted_sense: [19537, Synset('prevention.n.01')]; correct_sense: bar-0;

bar.40271; predicted_sense: [41195, Synset('bar.n.03')]; correct_sense: bar-0;

bar.40273; predicted_sense: [64225, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40274; predicted_sense: [91992, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40277; predicted_sense: [64849, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40279; predicted_sense: [104590, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40283; predicted_sense: [1954, Synset('legal_profession.n.01')]; correct_sense: bar-0;

bar.40286; predicted_sense: [74466, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40288; predicted_sense: [13755, Synset('bar.n.02')]; correct_sense: bar-0;

bar.40289; predicted_sense: [23616, Synset('measure.n.07')]; correct_sense: bar-3;

bar.40292; predicted_sense: [136585, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40294; predicted_sense: [6917, Synset('prevention.n.01')]; correct_sense: bar-0;

bar.40295; predicted_sense: [8440, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40298; predicted_sense: [38738, Synset('bar.n.03')]; correct_sense: bar-0;

bar.40300; predicted_sense: [18481, Synset('bar.n.03')]; correct_sense: bar-3;

bar.40303; predicted_sense: [27166, Synset('bar.n.07')]; correct_sense: bar-0;

bar.40304; predicted_sense: [5493, Synset('bar.v.01')]; correct_sense: bar-0;

bar.40311; predicted_sense: [320, Synset('bar.n.03')]; correct_sense: bar-0;

bar.40313; predicted_sense: [29421, Synset('bar.n.03')]; correct_sense: bar-0;

bar.40314; predicted_sense: [477, Synset('bar.n.03')]; correct_sense: bar-0;

bar.40316; predicted_sense: [29120, Synset('bar.n.03')]; correct_sense: bar-0;

bar.40320; predicted_sense: [5947, Synset('bar.n.02')]; correct_sense: bar-0;

bar.40323; predicted_sense: [40939, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40328; predicted_sense: [4890, Synset('bar.n.02')]; correct_sense: bar-0;

bar.40331; predicted_sense: [7567, Synset('bar.n.02')]; correct_sense: bar-0;

bar.40332; predicted_sense: [47063, Synset('bar.n.03')]; correct_sense: bar-0;

bar.40335; predicted_sense: [22563, Synset('bar.n.02')]; correct_sense: bar-0;

bar.40341; predicted_sense: [3350, Synset('bar.n.08')]; correct_sense: bar-0;

bar.40347; predicted_sense: [8666, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40349; predicted_sense: [17734, Synset('bar.n.03')]; correct_sense: bar-0;

bar.40350; predicted_sense: [82701, Synset('bar.n.03')]; correct_sense: bar-0;

bar.40358; predicted_sense: [32230, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40360; predicted_sense: [123554, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40363; predicted_sense: [42707, Synset('stripe.n.05')]; correct_sense: bar-0;

bar.40367; predicted_sense: [25524, Synset('bar.v.04')]; correct_sense: bar-0;

bar.40369; predicted_sense: [135707, Synset('bar.n.03')]; correct_sense: bar-3;

bar.40372; predicted_sense: [5122, Synset('bar.n.03')]; correct_sense: bar-3;

bar.40373; predicted_sense: [42815, Synset('bar.n.02')]; correct_sense: bar-0;

bar.40381; predicted_sense: [32950, Synset('bar.n.08')]; correct_sense: bar-5;

bar.40382; predicted_sense: [48826, Synset('bar.n.08')]; correct_sense: bar-0;

bar.40384; predicted_sense: [12279, Synset('bar.n.07')]; correct_sense: bar-3;

bar.40387; predicted_sense: [12560, Synset('legal_profession.n.01')]; correct_sense: bar-0;

bar.40388; predicted_sense: [32950, Synset('bar.n.08')]; correct_sense: bar-0;

bar.40391; predicted_sense: [48688, Synset('bar.n.03')]; correct_sense: bar-5;

bar.40400; predicted_sense: [20770, Synset('bar.n.03')]; correct_sense: bar-0;

bar.40401; predicted_sense: [3602, Synset('bar.n.03')]; correct_sense: bar-0;

bar.40409; predicted_sense: [50266, Synset('stripe.n.05')]; correct_sense: bar-0;

bar.40410; predicted_sense: [30131, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40412; predicted_sense: [49118, Synset('bar.n.03')]; correct_sense: bar-0;

bar.40413; predicted_sense: [6951, Synset('bar.v.04')]; correct_sense: bar-0;

bar.40416; predicted_sense: [32230, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.40418; predicted_sense: [17016, Synset('bar.v.04')]; correct_sense: bar-0;

bar.40420; predicted_sense: [4505, Synset('bar.n.03')]; correct_sense: bar-0;

bar.30005; predicted_sense: [32950, Synset('bar.n.08')]; correct_sense: bar-0;

bar.30010; predicted_sense: [32002, Synset('barroom.n.01')]; correct_sense: bar-0;

bar.30038; predicted_sense: [6154, Synset('bar.n.02')]; correct_sense: bar-0;

bar.30039; predicted_sense: [3791, Synset('bar.n.03')]; correct_sense: bar-0;

bar.30041; predicted_sense: [32230, Synset('barroom.n.01')]; correct_sense: bar-0;

chair.40002; predicted_sense: [105052, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40003; predicted_sense: [47100, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40005; predicted_sense: [9867, Synset('chair.n.05')]; correct_sense: chair-0;

chair.40008; predicted_sense: [417914, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40012; predicted_sense: [1363, Synset('chair.v.01')]; correct_sense: chair-0;

chair.40013; predicted_sense: [213, Synset('professorship.n.01')]; correct_sense: chair-0;

chair.40015; predicted_sense: [9867, Synset('chair.n.05')]; correct_sense: chair-0;

chair.40019; predicted_sense: [50754, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40020; predicted_sense: [40332, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40023; predicted_sense: [148415, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40025; predicted_sense: [145561, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40027; predicted_sense: [2031, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40030; predicted_sense: [30375, Synset('president.n.04')]; correct_sense: chair-0;

chair.40033; predicted_sense: [15640, Synset('chair.n.01')]; correct_sense: chair-0;

chair.40034; predicted_sense: [4009, Synset('professorship.n.01')]; correct_sense: chair-0;

chair.40037; predicted_sense: [16927, Synset('chair.n.01')]; correct_sense: chair-0;

